Date,Day_of_Week,Is_Weekend,Year,Month,MonthName,Web_TotalUsers,Web_Sessions,Web_PageViews,Web_EngagedSessions,Web_NewUsers,Web_ReturningUsers,Web_EngagementRate,Web_BounceRate,Acq_New_users,Acq_Returning_users,Acq_Total_users,Acq_Sessions,Acq_Engagement_rate,Acq_Bounce_rate,Device_desktop,Device_mobile,Device_tablet,OS_Windows,OS_iOS,OS_Android,OS_Macintosh,OS_Linux,Browser_Chrome,Browser_Safari,Browser_Edge,Browser_Firefox,PT_Impressions,PT_Pin clicks,PT_Engaged audience,PT_Outbound clicks,PT_Saves,PT_Engagement rate,PT_Pin click rate,PT_Outbound click rate,PT_Save rate,PT_Total audience,PT_Engagement,Fa_reach,Fa_views,Fa_likes,Fa_total_engagement,In_reach,In_views,In_likes,In_total_engagement,Total_Device_Usage,Dominant_Device,Mobile_Percentage,Total_Social_Reach,Total_Social_Views,Total_Social_Engagement,Website_Activity_Level,PT_Level,Social_to_Web_Ratio,Digital_Footprint_Score,Web_TotalUsers_7day_avg,Total_Social_Engagement_7day_avg,PT_Engagement_7day_avg,Instagram_Posting_Time,Instagram_Posting_Hour,Instagram_Post_Count,Facebook_Posting_Time,Facebook_Posting_Hour,Facebook_Post_Count,Total_Posts_Today,Instagram_Peak_Time_Match,Facebook_Peak_Time_Match,Date_DMY
20/04/2024,Saturday,1,2024,4,April,24,30,108,21,24,6,0.7,0.3,8,2,8,10,0.7,0.3,4,4,2,1,3,3,3,0,7,1,0,0,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,desktop,40,0,108,1.4,Medium,,0.222222222,34.8,20.42857143,6.385951437,1.428571429,,,0,,,0,0,FALSE,FALSE,20/04/2024
21/04/2024,Sunday,1,2024,4,April,6,6,16,4,4,1,0.666666667,0.333333333,4,1,6,6,0.666666667,0.333333333,5,1,0,2,0,1,3,0,6,0,0,0,31,2,2,0,1,0.096774194,0.064516129,0,0.032258065,29,3,0,0,0,0,0,0,0,0,6,desktop,16.66666667,0,16,4.430107527,Low,Low,0.375,7.6,20.71428571,6.586284258,1.714285714,,,0,,,0,0,FALSE,FALSE,21/04/2024
22/04/2024,Monday,0,2024,4,April,14,14,16,10,12,0,0.714285714,0.285714286,6,0,7,7,0.714285714,0.285714286,3,4,0,2,3,1,1,0,4,3,0,0,33,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,7,mobile,57.14285714,0,16,1.428571429,Medium,,0.875,15.6,20.42857143,6.611794462,1.714285714,,,0,,,0,0,FALSE,FALSE,22/04/2024
23/04/2024,Tuesday,0,2024,4,April,40,44,84,36,32,8,0.818181818,0.181818182,8,2,10,11,0.818181818,0.181818182,5,6,0,3,4,2,2,0,4,5,1,1,47,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,11,mobile,54.54545455,0,84,1.636363636,High,,0.476190476,48.4,24,6.616989267,1.714285714,,,0,,,0,0,FALSE,FALSE,23/04/2024
24/04/2024,Wednesday,0,2024,4,April,26,26,46,8,24,2,0.307692308,0.692307692,12,1,13,13,0.307692308,0.692307692,6,6,1,1,2,5,5,0,12,1,0,0,22,3,3,0,1,0.181818182,0.136363636,0,0.045454545,19,4,0,0,0,0,0,0,0,0,13,desktop,46.15384615,0,46,4.797202797,Medium,Low,0.565217391,30.6,24.28571429,6.584555035,1.714285714,,,0,,,0,0,FALSE,FALSE,24/04/2024
25/04/2024,Thursday,0,2024,4,April,57,57,117,21,51,6,0.368421053,0.631578947,17,2,19,19,0.368421053,0.631578947,14,5,0,5,4,1,9,1,16,3,0,1,27,3,2,0,1,0.148148148,0.111111111,0,0.037037037,20,4,0,0,0,0,0,0,0,0,19,desktop,26.31578947,0,117,4.884990253,High,Low,0.487179487,68.7,26.42857143,6.876579882,2,,,0,,,0,0,FALSE,FALSE,25/04/2024
26/04/2024,Friday,0,2024,4,April,10,10,18,8,8,2,0.8,0.2,4,1,5,5,0.8,0.2,0,5,0,0,2,3,0,0,3,2,0,0,30,1,1,0,0,0.033333333,0.033333333,0,0,23,1,93,0,5,5,124,0,0,18,5,mobile,100,217,18,25.63333333,Low,Low,0.555555556,11.8,25.28571429,6.315795568,1.714285714,18:31:00,18,1,18:31:00,18,1,2,TRUE,TRUE,26/04/2024
27/04/2024,Saturday,1,2024,4,April,27,27,51,15,27,0,0.555555556,0.444444444,9,0,9,9,0.555555556,0.444444444,3,6,0,3,2,4,0,0,6,2,0,0,20,0,0,0,0,0,0,0,0,18,0,109,0,6,6,100,0,0,6,9,mobile,66.66666667,209,51,13.11111111,Medium,,0.529411765,32.1,25.71428571,7.988811441,1.714285714,18:04:00,18,1,18:04:00,18,1,2,TRUE,TRUE,27/04/2024
28/04/2024,Sunday,1,2024,4,April,18,18,45,9,18,0,0.5,0.5,6,0,6,6,0.5,0.5,3,3,0,3,2,1,0,0,3,2,0,0,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,desktop,50,0,45,1,Medium,,0.4,22.5,27.42857143,7.49879608,1.285714286,,,0,,,0,0,FALSE,FALSE,28/04/2024
29/04/2024,Monday,0,2024,4,April,54,69,120,48,45,18,0.695652174,0.304347826,15,6,18,23,0.695652174,0.304347826,7,16,0,2,13,3,5,0,14,6,0,0,45,2,2,1,0,0.066666667,0.044444444,0.022222222,0,24,3,0,0,0,0,0,0,0,0,23,mobile,69.56521739,0,120,4.457971014,High,Low,0.45,66,33.14285714,7.931567449,1.714285714,,,0,,,0,0,FALSE,FALSE,29/04/2024
30/04/2024,Tuesday,0,2024,4,April,8,8,6,2,4,0,0.25,0.75,2,0,4,4,0.25,0.75,3,1,0,2,1,0,1,0,3,0,0,1,27,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,desktop,25,0,6,0.5,Low,,1.333333333,8.6,28.57142857,7.769229787,1.714285714,,,0,,,0,0,FALSE,FALSE,30/04/2024
01/05/2024,Wednesday,0,2024,5,May,8,8,24,8,8,0,1,0,4,0,4,4,1,0,2,3,1,1,3,0,1,0,2,3,0,0,38,1,1,0,0,0.026315789,0.026315789,0,0,33,1,0,0,0,0,0,0,0,0,6,mobile,50,0,24,3.026315789,Low,Low,0.333333333,10.4,26,7.516245929,1.285714286,,,0,,,0,0,FALSE,FALSE,01/05/2024
02/05/2024,Thursday,0,2024,5,May,8,8,14,8,8,0,1,0,4,0,4,4,1,0,2,2,0,1,2,0,1,0,1,3,0,0,24,2,2,0,0,0.083333333,0.083333333,0,0,24,2,0,0,0,0,0,0,0,0,4,desktop,50,0,14,4.083333333,Low,Low,0.571428571,9.4,19,7.401723512,1,,,0,,,0,0,FALSE,FALSE,02/05/2024
03/05/2024,Friday,0,2024,5,May,12,12,22,10,12,0,0.833333333,0.166666667,6,0,6,6,0.833333333,0.166666667,2,4,0,2,2,2,0,0,4,2,0,0,18,0,0,0,0,0,0,0,0,16,0,100,0,5,5,112,0,0,10,6,mobile,66.66666667,212,22,16.66666667,Medium,,0.545454546,14.2,19.28571429,6.120771131,0.857142857,19:00:00,19,1,19:00:00,19,1,2,FALSE,FALSE,03/05/2024
04/05/2024,Saturday,1,2024,5,May,16,18,20,10,16,2,0.555555556,0.444444444,8,1,8,9,0.555555556,0.444444444,1,8,0,1,4,4,0,0,5,4,0,0,21,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,mobile,88.88888889,0,20,1.111111111,Medium,,0.8,18,17.71428571,4.406485416,0.857142857,,,0,,,0,0,FALSE,FALSE,04/05/2024
05/05/2024,Sunday,1,2024,5,May,14,14,26,12,12,2,0.857142857,0.142857143,6,1,7,7,0.857142857,0.142857143,1,6,0,1,3,3,0,0,6,1,0,0,27,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,7,mobile,85.71428571,0,26,1.714285714,Medium,,0.538461539,16.6,17.14285714,4.508526233,0.857142857,,,0,,,0,0,FALSE,FALSE,05/05/2024
06/05/2024,Monday,0,2024,5,May,1,1,7,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,26,0,1,0,1,0.038461538,0,0,0.038461538,19,1,0,0,0,0,0,0,0,0,1,desktop,0,0,7,3.038461538,Low,Low,0.142857143,1.7,9.571428571,4.305739165,0.571428571,,,0,,,0,0,FALSE,FALSE,06/05/2024
07/05/2024,Tuesday,0,2024,5,May,65,75,175,55,55,15,0.733333333,0.266666667,11,3,13,15,0.733333333,0.266666667,6,9,0,4,9,0,2,0,3,4,3,1,22,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,15,mobile,60,0,175,1.466666667,High,,0.371428571,82.5,17.71428571,4.443834403,0.571428571,,,0,,,0,0,FALSE,FALSE,07/05/2024
08/05/2024,Wednesday,0,2024,5,May,3,3,5,2,3,0,0.666666667,0.333333333,3,0,3,3,0.666666667,0.333333333,2,1,0,1,0,1,0,1,3,0,0,0,24,1,1,0,0,0.041666667,0.041666667,0,0,17,1,0,0,0,0,0,0,0,0,3,desktop,33.33333333,0,5,2.375,Low,Low,0.6,3.5,17,4.35078929,0.571428571,,,0,,,0,0,FALSE,FALSE,08/05/2024
09/05/2024,Thursday,0,2024,5,May,64,64,156,28,52,8,0.4375,0.5625,13,2,16,16,0.4375,0.5625,13,3,0,11,2,1,2,4,12,3,1,4,23,1,1,0,0,0.043478261,0.043478261,0,0,22,1,0,0,0,0,0,0,0,0,16,desktop,18.75,0,156,1.918478261,High,Low,0.41025641,79.6,25,4.04152428,0.428571429,,,0,,,0,0,FALSE,FALSE,09/05/2024
10/05/2024,Friday,0,2024,5,May,18,18,28,6,16,2,0.333333333,0.666666667,8,1,9,9,0.333333333,0.666666667,6,3,0,5,2,1,1,0,7,2,0,0,36,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,9,desktop,33.33333333,0,28,0.666666667,Medium,,0.642857143,20.8,25.85714286,1.755809994,0.428571429,,,0,,,0,0,FALSE,FALSE,10/05/2024
11/05/2024,Saturday,1,2024,5,May,12,14,34,14,12,2,1,0,6,1,6,7,1,0,4,3,0,1,2,1,3,0,5,2,0,0,29,1,1,0,0,0.034482759,0.034482759,0,0,25,1,0,0,0,0,0,0,0,0,7,desktop,42.85714286,0,34,3.034482759,Medium,Low,0.352941177,15.4,25.28571429,2.030577372,0.571428571,,,0,,,0,0,FALSE,FALSE,11/05/2024
12/05/2024,Sunday,1,2024,5,May,18,18,66,18,15,3,1,0,5,1,6,6,1,0,2,4,0,0,4,0,1,1,2,3,1,0,17,2,2,0,0,0.117647059,0.117647059,0,0,14,2,0,0,0,0,0,0,0,0,6,mobile,66.66666667,0,66,4.117647059,Medium,Low,0.272727273,24.6,25.85714286,2.373914707,0.857142857,,,0,,,0,0,FALSE,FALSE,12/05/2024
13/05/2024,Monday,0,2024,5,May,21,24,54,21,12,9,0.875,0.125,4,3,7,8,0.875,0.125,4,4,0,4,3,1,0,0,4,3,1,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,desktop,50,0,54,1.75,Medium,,0.388888889,26.4,28.71428571,2.189848773,0.714285714,,,0,,,0,0,FALSE,FALSE,13/05/2024
14/05/2024,Tuesday,0,2024,5,May,18,18,30,9,15,3,0.5,0.5,5,1,6,6,0.5,0.5,4,2,0,2,2,0,2,0,3,2,0,0,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,desktop,33.33333333,0,30,1,Medium,,0.6,21,22,2.123182106,0.714285714,,,0,,,0,0,FALSE,FALSE,14/05/2024
15/05/2024,Wednesday,0,2024,5,May,15,15,54,12,15,0,0.8,0.2,5,0,5,5,0.8,0.2,5,1,1,2,1,0,3,0,4,1,0,1,27,1,1,0,0,0.037037037,0.037037037,0,0,24,1,0,0,0,0,0,0,0,0,7,desktop,14.28571429,0,54,2.637037037,Medium,Low,0.277777778,20.4,23.71428571,2.160615969,0.714285714,,,0,,,0,0,FALSE,FALSE,15/05/2024
16/05/2024,Thursday,0,2024,5,May,4,5,7,3,4,1,0.6,0.4,4,1,4,5,0.6,0.4,3,2,0,3,0,2,0,0,5,0,0,0,20,2,2,0,0,0.1,0.1,0,0,20,2,0,0,0,0,0,0,0,0,5,desktop,40,0,7,3.3,Low,Low,0.571428571,4.7,15.14285714,2.357976217,0.857142857,,,0,,,0,0,FALSE,FALSE,16/05/2024
17/05/2024,Friday,0,2024,5,May,24,27,33,15,24,3,0.555555556,0.444444444,8,1,8,9,0.555555556,0.444444444,3,6,0,1,3,3,1,1,4,2,0,0,28,0,0,0,0,0,0,0,0,25,0,95,0,4,4,155,0,0,19,9,mobile,66.66666667,250,33,24.11111111,Medium,,0.727272727,27.3,16,5.707182567,0.857142857,19:00:00,19,1,19:00:00,19,1,2,FALSE,FALSE,17/05/2024
18/05/2024,Saturday,1,2024,5,May,6,6,10,6,6,0,1,0,3,0,3,3,1,0,0,3,0,0,2,1,0,0,2,1,0,0,18,1,1,0,0,0.055555556,0.055555556,0,0,16,1,0,0,0,0,0,0,0,0,3,mobile,100,0,10,3.055555556,Low,Low,0.6,7,15.14285714,5.710192966,0.857142857,,,0,,,0,0,FALSE,FALSE,18/05/2024
19/05/2024,Sunday,1,2024,5,May,36,36,54,27,30,6,0.75,0.25,10,2,12,12,0.75,0.25,6,6,0,2,5,1,3,1,6,4,0,0,27,3,3,0,0,0.111111111,0.111111111,0,0,24,3,0,0,0,0,0,0,0,0,12,desktop,50,0,54,4.611111111,High,Low,0.666666667,41.4,17.71428571,5.780687831,1,,,0,,,0,0,FALSE,FALSE,19/05/2024
20/05/2024,Monday,0,2024,5,May,12,12,24,8,10,2,0.666666667,0.333333333,5,1,6,6,0.666666667,0.333333333,5,1,0,4,1,0,1,0,5,1,0,0,34,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,desktop,16.66666667,0,24,1.333333333,Medium,,0.5,14.4,16.42857143,5.721164021,1,,,0,,,0,0,FALSE,FALSE,20/05/2024
21/05/2024,Tuesday,0,2024,5,May,21,21,30,6,21,0,0.285714286,0.714285714,7,0,7,7,0.285714286,0.714285714,4,3,0,3,2,1,1,0,5,1,0,0,31,3,3,0,0,0.096774194,0.096774194,0,0,28,3,0,0,0,0,0,0,0,0,7,desktop,42.85714286,0,30,3.668202765,Medium,Low,0.7,24,16.85714286,6.102335845,1.428571429,,,0,,,0,0,FALSE,FALSE,21/05/2024
22/05/2024,Wednesday,0,2024,5,May,18,18,24,16,16,2,0.888888889,0.111111111,8,1,9,9,0.888888889,0.111111111,7,1,1,3,0,2,4,0,8,1,0,0,20,2,2,0,1,0.15,0.1,0,0.05,19,3,0,0,0,0,0,0,0,0,9,desktop,11.11111111,0,24,4.927777778,Medium,Low,0.75,20.4,17.28571429,6.429584522,1.714285714,,,0,,,0,0,FALSE,FALSE,22/05/2024
23/05/2024,Thursday,0,2024,5,May,6,8,18,6,4,2,0.75,0.25,2,1,3,4,0.75,0.25,4,0,0,3,0,0,1,0,3,1,0,0,34,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,desktop,0,0,18,1.5,Low,,0.333333333,7.8,17.57142857,6.172441665,1.428571429,,,0,,,0,0,FALSE,FALSE,23/05/2024
24/05/2024,Friday,0,2024,5,May,2,2,4,2,1,1,1,0,1,1,2,2,1,0,2,0,0,2,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,17,0,102,0,1,1,96,0,0,10,2,desktop,0,198,4,13,Low,,0.5,2.4,14.42857143,4.585140078,1.428571429,19:00:00,19,1,19:00:00,19,1,2,FALSE,FALSE,24/05/2024
25/05/2024,Saturday,1,2024,5,May,12,12,14,2,11,1,0.166666667,0.833333333,11,1,12,12,0.166666667,0.833333333,10,2,0,0,1,1,10,0,12,0,0,0,35,2,3,0,1,0.085714286,0.057142857,0,0.028571429,28,3,0,0,0,0,0,0,0,0,12,desktop,16.66666667,0,14,3.419047619,Medium,Low,0.857142857,13.4,15.28571429,4.637067515,1.714285714,,,0,,,0,0,FALSE,FALSE,25/05/2024
26/05/2024,Sunday,1,2024,5,May,24,24,34,12,22,0,0.5,0.5,11,0,12,12,0.5,0.5,7,5,0,2,2,3,5,0,11,1,0,0,14,1,1,0,0,0.071428571,0.071428571,0,0,13,1,0,0,0,0,0,0,0,0,12,desktop,41.66666667,0,34,2.071428571,Medium,Low,0.705882353,27.4,13.57142857,4.274255724,1.428571429,,,0,,,0,0,FALSE,FALSE,26/05/2024
